dataset,model,variant,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
heart_statlog,svm_linear,default,0.834815,0.053169,0.83,0.055564,0.807247,0.06658,0.910889,0.038322
heart_statlog,svm_rbf,default,0.819259,0.061251,0.813,0.064699,0.785203,0.080318,0.900278,0.044683
heart_statlog,xgboost,default,0.814074,0.05,0.809667,0.051759,0.784861,0.06246,0.888111,0.038961
iris_binary,knn,default,0.932,0.043012,0.932,0.043012,0.931201,0.043351,0.985,0.019791
iris_binary,logreg,default,0.944,0.048563,0.944,0.048563,0.943806,0.049369,0.9956,0.007118
iris_binary,mlp,default,0.946,0.04062,0.946,0.04062,0.947993,0.038853,0.9964,0.005686
iris_binary,rf,default,0.916,0.051478,0.916,0.051478,0.912904,0.054976,0.9878,0.014796
iris_binary,svm_linear,default,0.938,0.046278,0.938,0.046278,0.940429,0.046366,0.9968,0.006272
iris_binary,svm_rbf,default,0.938,0.04397,0.938,0.04397,0.938284,0.043807,0.9936,0.008602
iris_binary,xgboost,default,0.918,0.057518,0.918,0.057518,0.917111,0.059112,0.9758,0.030879
moons,knn,default,0.9692,0.01222,0.9692,0.01222,0.969313,0.01211,0.99228,0.00784
moons,logreg,default,0.8564,0.035223,0.8564,0.035223,0.856619,0.034836,0.95288,0.016544
moons,mlp,default,0.8476,0.031262,0.8476,0.031262,0.846145,0.031605,0.95096,0.016872
moons,rf,default,0.9644,0.017098,0.9644,0.017098,0.964437,0.017316,0.994288,0.005013
moons,svm_linear,default,0.8576,0.032949,0.8576,0.032949,0.85807,0.032576,0.952944,0.016458
moons,svm_rbf,default,0.9628,0.018148,0.9628,0.018148,0.963184,0.017917,0.995584,0.003195
moons,xgboost,default,0.9624,0.017388,0.9624,0.017388,0.962311,0.018001,0.994464,0.007084
pima,knn,default,0.735926,0.034795,0.693739,0.038697,0.593006,0.05541,0.770358,0.038905
pima,logreg,default,0.771327,0.028701,0.722865,0.03391,0.63079,0.049485,0.829687,0.035971
pima,mlp,default,0.764302,0.03585,0.716478,0.040628,0.621586,0.061511,0.826163,0.038952
pima,rf,default,0.76038,0.030697,0.718794,0.038147,0.626882,0.054599,0.823388,0.033636
pima,svm_linear,default,0.771064,0.029485,0.722665,0.034268,0.630642,0.050392,0.828585,0.037372
pima,svm_rbf,default,0.770571,0.037356,0.721646,0.043942,0.628446,0.064176,0.837894,0.037533
pima,xgboost,default,0.735095,0.030844,0.702106,0.034905,0.608707,0.048347,0.789522,0.035304
wine_binary,knn,default,0.964565,0.0314,0.968635,0.027826,0.95776,0.036974,0.991005,0.016473
wine_binary,logreg,default,0.984855,0.023867,0.987524,0.019529,0.981865,0.028622,0.999122,0.002428
wine_binary,mlp,default,0.974855,0.029552,0.978571,0.024905,0.970218,0.034768,0.999407,0.002963
wine_binary,rf,default,0.984783,0.023954,0.987524,0.019529,0.981664,0.028854,0.999122,0.003235
wine_binary,svm_linear,default,0.966377,0.029988,0.968508,0.028673,0.959248,0.036368,0.998836,0.002723
wine_binary,svm_rbf,default,0.983188,0.02102,0.986095,0.017397,0.979749,0.025363,0.999122,0.002428
wine_binary,xgboost,default,0.952826,0.05465,0.949905,0.060763,0.938621,0.074698,0.992127,0.01193
xor_gauss,knn,default,0.622,0.04674,0.619699,0.047242,0.589424,0.056235,0.662785,0.048746
xor_gauss,logreg,default,0.50975,0.030463,0.500138,0.029791,0.371506,0.047674,0.500595,0.030501
xor_gauss,mlp,default,0.51075,0.027095,0.499035,0.025565,0.330134,0.08446,0.495771,0.039374
xor_gauss,rf,default,0.566,0.041304,0.561955,0.04128,0.511868,0.051041,0.590952,0.043766
xor_gauss,svm_linear,default,0.51075,0.026548,0.493045,0.021533,0.16244,0.189657,0.494887,0.038554
xor_gauss,svm_rbf,default,0.5615,0.024979,0.553734,0.024913,0.461514,0.042271,0.576617,0.032463
xor_gauss,xgboost,default,0.567,0.039632,0.564962,0.038995,0.53469,0.039928,0.595107,0.056894
